File Name,Page Number,Description of Page,Color Scheme,Drawing Description,Visible Physical Features/Damage,Keywords,Content Summary
pennlibraries_streetincairo_1893_page01,1,Cover page with depiction of Cairo and green leaf border,"Green, yellow, red, blue, black","Depiction of Egyptian monuments with secondary image of busy street within, two titles with two fonds, long thin flower","Creases in upper right corner, image damaged/lifting/fading in all four corners, slight crease in upper left corner","Steet, Cairo, World Columbian Exposition, Pyramid, Chicago",Title: Street in Cairo; Publishing Context: World's Columbian Exposition 
pennlibraries_streetincairo_1893_page02,2,Body of text with title and subtitle at top; small red graphic in upper left corner of text,black and red,Lone baby in basket floating in body of water with leaves/tree over his head,"Crease/ tear to upper left corner, crease/misalignment to other page in upper right corner, two small brown splotches on the middle right of the text, discoleration on bottom left of text","Holy family, Moses, Pharaoh, Cairo, reproduction, Chicago","Biblical story of the flight of the holy famiily to Egypt, common desire to travel to Egypt, introdcution of Chicago's replication of Cairo's features"
pennlibraries_streetincairo_1893_page03,3,Body of text with small red graphic in bottom right corner of text,black and red,"Man in tunic and hat/tuban with hand on face in thought, potentially a resident of Cairo or one of the natives brought to populate the replication of the city ","Slight bend and creases in upper right corner, discoleration in upper left corner, pencil writing 'MCRM' in upper middle/right, two small brown  splotches on the middle left of the text, splotchy/oily discoveration centered in bottom middle of text","Max Herz, Cairo, street, Midway Plaisance, Columbian Exposition, George Pangalo, Egyptians, Arabs, Nubians, plaster, minaret","Description of Cairo Street Replica's location in Chicago, the splendor of restored Cairo, desfription of the people who fill the city, explaination of entry accessability and likely initial impression of city's outskirts"
pennlibraries_streetincairo_1893_page04,4,"Watercolor painting of street looking east; emphasis places on minaret, people fill the streets; image blends into background and paper","Green, yellow, red, blue, black","Detailed watercolor print. Line of sight draws eyes to tall white minaret that poaks inot a fading blue sky. Surrounding buildings are boxy but have a diverse range of detail, color, pattern, and window shape. Diverse peoples fill the streets dressed in a variety of outfits. Image centers around white woman in tailored blue dress with red hat and umbrella","Slight wrinkle in upper left corner, small piece of upper left cormer torn off, faint oil putline/imprint of the next page's red graphic in the upper right of page, ","Steeet, east, minaret, Cairo, stripes, diversity","Text says ""Street Looking East"". "
pennlibraries_streetincairo_1893_page05,5,Body of text with small red graphic in upper left corner of text,Black and red,"Window of bulding, likely the coffee shop referenced. Four people stand gazing out the window. Building incredibly detailed with geometric engravings","Faint crease in upper right corner, oil discoveration throughout text (mostly in lower middle) showing faint outline of previous page's art","Chicago, dream, café, fragrence, mosque, minaret, coloring, Cairo, prayer, Gamal El Din El Yahbi","Fantasy of entering mock city's coffee shop and emerging into the culture of the city surrounded by shops, Mosques, and elaborate colorful decorations. Description of elaborate balconies and architecture"
pennlibraries_streetincairo_1893_page06,6,"Watercolor painting of mosque and okala; two pictures in one. Background painting is of the outside of the mosque, while secondary painting shows an okala, or a courtyard, full of people.","Green, yellow, red, blue, black","Two images on one page, with one depicting the full exterior of the mosque and the other depicting the interior courtyard, or okala. The outside is surrounded by people in a variety of both Western and Eastern garb. The courtyard in the second image is the same, and in the nine openings in the walls it is evident that the spice is vibrant and crowded. The two images seem to be painted at different times, with the mosque despicted at sundown (yellow sky) and the okala depicted during the day (blue sky).",Very slight crease in upper right corner; two brown splotches of discoleration on the leftmost edge in the lower half of the page,"Mosque, okala, prayer, community","Text says ""Mosque"" and ""Okala"""
pennlibraries_streetincairo_1893_page07,7,Body of text with small red graphic in bottom right corner of text,black and red,Three figures draped in cloaks and headressings riding on camelback,"Visible discoleration due to transfer of ink from proximity to previous page, specifically a square of tinted space in the upper left side of the page and other discoloration apparent among the text. There are two brown splotches of discoleration on the rightmost edge in the lower half of the page","Decorations, pavillion, Cairo, Mosque, Kuttab, Sebil, Dans de Ventre, Okala","Description of beautiful and luxurious details inside a house on the street; description of a pavillion with a fountain, theatre enterence, and a description of the performances that occur in the theater. Explanation of the Okala and the shape/architecture of the court"
pennlibraries_streetincairo_1893_page08,8,"Watercolor painting of the House of Gamal El Din El Yahbi; two pictures in one. Background painting is of the exterior of the house, with the secondary painting in the upper left showing the open interior of the house. ","Green, yellow, red, blue, black","Two images on one page, with one depicting the exterior of the house (windows, balconies, drapery in the fornt) and the toehr depicting the interior courtyard of the house (sunlight through the roof, pond, doorway to outside). The outside is bustling with people outside, while the interior only has one person. ",No noticable creasing/very little damage. A few small brown flecks in the upper right side of the page,"House, Gamal El Din El Yahbi, courtyard","Text says ""House of Gamal El Din El Yahbi"""
pennlibraries_streetincairo_1893_page09,9,"Painting of the many different types of people that fill the streets of the Cairo mockup. The page includes 12 distinct characters, with nearly all facing the viewer. The  page is split in two, with 7 people in the upper half and 5 people in the lower half.","Green, yellow, red, blue, black","The 12 people on the page are meant to depict the faces of Cairo. They are split into six groups, with two teenage-appearing boys in the upper left and a family next to them in the upper right. In the lower half, there is a man facing the audience in a red tunic wearing a yellow headdress. On his right are four floating figures, two in red hats and two in cream hats. There are vague sketches of a background, with the family sitting under an arch and the man in red and yellow standing in front of his shadow. Otherwise, the figures all fade into the page's background. There is a range of facial feature, skin tone, and hair color throughout the figures.","Light brown speckles in the lower left corner of the page. Speckles are more sparse but continue on up the page, and are visible along the left side near the binding.","Faces, tunics, clothing, culture, exchange, diversity","Text says ""Types of Cairo"""
pennlibraries_streetincairo_1893_page10,10,Body of text with small red graphic in lower left corner of text,black and red,"Line drawing of a female street merchant/artisan. She is adorned with intricate jewlery and wears a cropped top with a floral skirt. The women is handling two swords, either for sale or for show in an act.","Faint oil outline of discoleration due to transfer of ink from proximity to previous page, specifically a large square of tinted space that covers the text almost in its entirety","Merchants, trade, architecture, Nile, draperies, artisans","Text describes the court in which merchants sell their goods, including lamps, ivory, jewlery, and pottery. The text also describes the architecture of the market, with the lower floors of homes occupies by shops. Artisans are described to be working publically, weaving silk and crafting their various goods."
pennlibraries_streetincairo_1893_page11,11,Painting of the theatre. Focus is on the decorations/chandelier draped from the ceiling and the intricate patterns that adorn the walls/backdrops of the theatre. Many people in a variety of outfits fill the seats watching a female performer in a yellow skirt and a band on stage.,"Green, yellow, red, blue, black","There are 12 performers on the stage in front of a full crowd of viewers in the theater. The main performer is a female in a yellow skirt, blue top, and red shoes, who appears to be performing with scarves/silks. The remaining 11 people on stage sit behind her, each with a unique instrument, including cymbols, banjos, and flutes. The audience is full of spectators of various backgrounds dressed in formal wear. The event happens below a ceiling adorned with decorative scarves, architectural arches, glass bulbs/ornaments, and a brass and crystal chandelier.  ",Faint stain on the right of the image in the upper-middle quadrant,"Theatre, performance, cross-cultural exchance, decorations","Text says ""Theatre"""
